scope,seed,confidence_cut,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,26,19,7,0.8947368421052632,0.5714285714285714,0.0,0.2857142857142857,Race_ethnicity,6096
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,26,19,7,0.8947368421052632,0.5714285714285714,0.0,0.2857142857142857,Race_ethnicity,6096
loco_uncertain_subset,42,0.8,simple_condition_only,59,42,17,0.9285714285714286,0.5882352941176471,-0.33333333333333337,0.29411764705882354,Race_ethnicity,6096
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,59,42,17,0.9285714285714286,0.5882352941176471,-0.33333333333333337,0.29411764705882354,Race_ethnicity,6096
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,59,42,17,0.9285714285714286,0.5882352941176471,-0.33333333333333337,0.29411764705882354,Race_ethnicity,6096
loco_uncertain_subset,42,0.9,simple_condition_only,89,62,27,0.9354838709677419,0.6666666666666666,-0.5,0.25925925925925924,Race_ethnicity,6096
loco_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,89,62,27,0.9354838709677419,0.6666666666666666,-0.5,0.25925925925925924,Race_ethnicity,6096
loco_uncertain_subset,42,0.9,seven_signal_moe_predicted,89,62,27,0.9354838709677419,0.6666666666666666,-0.5,0.25925925925925924,Race_ethnicity,6096
loco_uncertain_subset,42,0.55,simple_condition_only,6,2,4,1.0,0.25,,0.75,Religion,7105
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,6,2,4,1.0,0.5,,0.5,Religion,7105
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,6,2,4,1.0,0.25,,0.75,Religion,7105
loco_uncertain_subset,42,0.6,simple_condition_only,17,8,9,1.0,0.3333333333333333,,0.6666666666666666,Religion,7105
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,17,8,9,1.0,0.4444444444444444,,0.4444444444444444,Religion,7105
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,17,8,9,1.0,0.3333333333333333,,0.6666666666666666,Religion,7105
loco_uncertain_subset,42,0.7,simple_condition_only,29,15,14,0.9333333333333333,0.35714285714285715,-1.0,0.5714285714285714,Religion,7105
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,29,15,14,0.8666666666666667,0.5,0.0,0.35714285714285715,Religion,7105
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,29,15,14,0.9333333333333333,0.42857142857142855,-1.0,0.5,Religion,7105
loco_uncertain_subset,42,0.8,simple_condition_only,53,28,25,0.9285714285714286,0.44,0.0,0.52,Religion,7105
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,53,28,25,0.7857142857142857,0.6,0.6666666666666667,0.28,Religion,7105
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,53,28,25,0.9285714285714286,0.48,0.0,0.48,Religion,7105
loco_uncertain_subset,42,0.9,simple_condition_only,88,40,48,0.9,0.3958333333333333,0.5,0.5416666666666666,Religion,7105
